pH,OrganicCarbon,Nitrogen,Phosphorus,Potassium,Sand,Silt,Clay,SoilType
8.73,0.28,50.7,53.3,179.3,50.4,18.4,22.2,Saline Soil
8.73,0.13,60.3,42.8,165.3,59.3,21.3,25,Saline Soil
8.31,0.28,75.9,45.9,177.7,55.5,17.2,24.4,Saline Soil
8.28,1.16,136.8,98.8,379,12.6,29,66.9,Black Soil
8.12,0.26,54,40.3,171.1,50.8,22.9,23.2,Saline Soil
5.67,0.59,116.5,73.8,227.2,32.9,20.2,49.2,Red Soil
7.62,0.11,57.2,53.6,192.8,79.7,12.3,7.1,Arid Soil
5.9,2.99,250.5,222.1,266.5,8.7,27.9,60.6,Peaty Soil
8.55,0.29,73.7,64.1,194.1,59.2,16.8,23.4,Saline Soil
7.51,0.99,104.1,108.7,368.1,12.8,29.3,74.8,Black Soil
8.48,0.13,72.9,65.2,187.8,63.5,18.7,21.5,Saline Soil
5.02,0.48,82.5,56.9,143.5,24.3,16.5,59.6,Laterite Soil
5.86,0.38,68.4,51.2,139.6,25,18.3,54.6,Laterite Soil
4.7,2.23,284.6,215.5,259.2,6.3,21.3,70.5,Peaty Soil
4.83,2.04,275.7,212,238.3,12.1,24.3,65.2,Peaty Soil
6.03,1.51,203.6,168.6,259.8,17.3,54.6,29.8,Forest Soil
4.84,0.39,84.9,59.2,157.9,24.8,16.1,64.2,Laterite Soil
7.79,0.16,47.8,55.8,154.8,75.5,10.5,15,Arid Soil
7.92,0.27,63,56.9,156.5,76.6,9.3,11.6,Arid Soil
5.89,0.48,92.3,77.7,216.9,32.9,21.2,48,Red Soil
7.65,1.1,121.3,111.8,377.2,15.3,26.1,69.1,Black Soil
4.13,2.25,298.8,225,245,7,20.3,71.4,Peaty Soil
8.4,0.11,69.3,40.2,216.1,54.8,19.9,22.6,Saline Soil
8.47,0.23,60.3,50.2,188.4,52.3,24,19.8,Saline Soil
6.12,0.55,81.4,74.7,203.3,30.6,26.5,46.8,Red Soil
6.19,0.51,97.7,96.5,233.6,35,23.2,45.9,Red Soil
4.17,2.52,257.1,233.4,277.8,11.7,22.4,68.3,Peaty Soil
5.34,1.82,203.7,135.5,213.1,21.4,42.6,26.7,Forest Soil
6.9,0.51,117.9,90.7,213,34.5,25.7,44.9,Red Soil
5.1,2.36,269,155.7,290.5,14.6,28.8,74.9,Peaty Soil
4.31,2.85,334.4,181.8,282.9,8.9,22.9,64,Peaty Soil
5.96,1.84,241.5,179.1,220.5,21,41.8,26.1,Forest Soil
7.97,1.1,127.3,102.3,308.4,11.3,21.4,65,Black Soil
8.01,0.12,55.5,79.8,199.1,74.1,14.1,5.2,Arid Soil
5,0.37,69.7,57.2,157.9,24.6,14,63.1,Laterite Soil
8.45,0.15,59.1,72.3,185.3,80.1,9.5,10.7,Arid Soil
7.03,0.87,132.3,264.4,321,38.1,36.9,22.1,Alluvial Soil
5.56,0.28,86.1,54.8,129.2,25.8,11,66.6,Laterite Soil
5.78,0.34,107.8,83.3,234,31.5,27.5,44.9,Red Soil
7.05,0.61,178.5,215.9,328.4,30.1,39.3,27.3,Alluvial Soil
7.99,0.25,68.1,51.4,189.9,78.4,8.8,13.2,Arid Soil
5.67,1.29,241.5,123.5,255.4,24.6,51.6,23.4,Forest Soil
6.67,0.87,178.6,236.3,285.5,33.7,39.5,25.9,Alluvial Soil
8.23,1.16,133,81.5,339.1,15,29,63.8,Black Soil
6.24,1.38,182.3,147.2,228.5,21.3,53.9,21.5,Forest Soil
6.24,0.4,100.4,83.4,189.1,34.1,27.9,43.8,Red Soil
6.03,0.4,88.4,75.3,235.7,38.7,23.8,41.6,Red Soil
7.92,0.95,120.2,80.5,345.3,15.5,20.8,65.1,Black Soil
5.13,1.21,157.7,176.3,279.6,15.5,55.7,27.6,Forest Soil
7.82,0.16,66.4,68.8,196.3,74.7,5.2,7.3,Arid Soil
8.32,0.25,62.7,50,159.1,80.6,13.6,10.3,Arid Soil
8.18,0.23,49.9,50.7,195.6,83.7,8.6,5.6,Arid Soil
6.4,1.01,169.7,174.3,252,22.7,44.4,26,Forest Soil
5.76,1.41,193.1,163.3,224.6,19.9,51.8,26.5,Forest Soil
6,0.49,115.1,92.4,198.8,31.6,29.7,44.5,Red Soil
4.98,0.3,61.3,72.3,151.9,29.3,11.2,68,Laterite Soil
5.96,0.5,89.5,84.6,188,37.1,24.8,40.3,Red Soil
4.64,2.38,267.6,198.1,267.9,11.7,21.6,65.9,Peaty Soil
6.63,0.47,119.5,83.1,235.1,35.5,23.9,40.2,Red Soil
5.9,3,261.2,244.4,270.5,8.8,24.8,72.5,Peaty Soil
6.36,0.4,92.2,96.3,217,33.7,20.5,43.8,Red Soil
8.31,1.16,128.2,96.7,394,16.6,21.2,61.6,Black Soil
8.67,0.16,75.5,40.8,164.2,56,18,17.8,Saline Soil
5.74,1.63,193.7,155.2,273.8,20.3,44.5,21.5,Forest Soil
6.47,0.45,91.3,85.8,196.3,31.1,20.2,43.4,Red Soil
7.57,0.29,52.5,50.8,197.2,84,14.5,13.8,Arid Soil
4.19,2.38,303.7,171.1,293.6,13.5,21.5,62.1,Peaty Soil
4.8,2.96,255.2,197.7,238.3,14.4,28.9,65.8,Peaty Soil
7.83,0.13,43.7,54.4,189.2,83.7,9.3,11,Arid Soil
8.14,0.27,44.4,69.5,194.5,79.3,12.1,6.4,Arid Soil
4.09,2.97,349.3,231.6,244,11.8,26.4,60.2,Peaty Soil
8.19,0.16,65.3,51.9,176.2,58.9,16.1,18.1,Saline Soil
7.73,0.17,59.4,61.7,194.3,81.9,9.3,11.5,Arid Soil
6.97,0.84,130.3,296.6,254.7,30.3,40.2,26.7,Alluvial Soil
6.52,0.82,135.9,218,302.1,31.5,40.9,28.9,Alluvial Soil
5.79,0.49,76.7,68.1,114,26,16.2,60.5,Laterite Soil
7.82,0.28,69.3,77,171.9,83.9,13.8,14.4,Arid Soil
8.09,0.23,61.9,62.2,169.7,80.6,12.7,9.9,Arid Soil
6.6,0.47,117.7,97.5,231.5,31.4,26.5,47.6,Red Soil
5.77,0.2,61.2,69.5,109.5,28.6,10.7,62.2,Laterite Soil
5.74,0.29,63.5,53.7,110.6,20.6,10.7,52.6,Laterite Soil
6.23,0.44,93.3,70.9,215,38.6,23.1,45.3,Red Soil
7.57,0.1,43.5,58.2,197,82.1,5.8,11.4,Arid Soil
8.23,0.88,119.2,116.2,333.6,13,21.2,66.7,Black Soil
5.68,0.56,99.7,81.8,196.1,30.1,29.9,41.4,Red Soil
4.78,2.49,342.7,204.5,283.9,8.6,24,74,Peaty Soil
8.34,0.22,53.4,52.5,169.1,71.4,5.4,14.5,Arid Soil
8.42,1,137.2,88.8,352.2,15.2,22.3,63.3,Black Soil
8.13,0.14,78.9,52.4,161.4,56.9,19.8,22.7,Saline Soil
5.01,0.43,63.5,61.1,138.9,29.5,12.4,61.1,Laterite Soil
5.13,0.49,82.9,60.7,163.4,22.8,13.6,50.5,Laterite Soil
6.26,0.5,107,89.5,208.5,34.3,23.7,47.8,Red Soil
8.37,0.3,44.2,74.5,173.4,74.6,14.1,13.6,Arid Soil
8.75,0.28,73.6,56.2,195.9,56.9,16.9,18.5,Saline Soil
5.36,1.99,239.2,178.4,216.4,15.3,52.6,24.1,Forest Soil
6.87,0.83,161.4,264,250.1,39.8,44.1,28.4,Alluvial Soil
5.75,0.49,84.5,71.9,201.2,33.4,26.8,48.5,Red Soil
7.63,0.81,101.1,117.6,360.9,16.1,28.6,62.5,Black Soil
8.06,1.17,104.4,92.9,367.5,11.5,24.7,63.5,Black Soil
6.8,0.37,92.5,75.7,226.5,33.8,25.3,47.5,Red Soil
8.91,0.1,58.6,53.4,157.5,60.5,20.9,18.4,Saline Soil
8.36,0.81,127.5,118.3,334.8,19.1,27.6,60.2,Black Soil
7.59,0.14,60,70.2,173.1,70.1,14.1,13.5,Arid Soil
6.41,0.42,86.4,80.7,226.8,32.3,22,41.1,Red Soil
6.93,0.59,100.4,71,196.5,33.4,20.7,43.2,Red Soil
6.14,1.19,152.1,178.2,260.5,24.3,41.6,28.6,Forest Soil
6.35,0.47,118.8,80.4,241.7,32,22,48.9,Red Soil
7.73,0.96,127.2,95,318.3,13.6,25.8,61.7,Black Soil
6.07,0.42,88.2,80.7,220.1,32.8,24.2,48.6,Red Soil
5.35,1.51,238,150.5,259.5,18.5,40.3,20.1,Forest Soil
6.48,0.58,91.9,80,185.3,34.1,27.7,48.3,Red Soil
7.81,0.84,133.3,114.8,354.4,17.3,21.4,70.9,Black Soil
8.4,0.9,117.5,96.8,367.2,17.1,21.8,60.7,Black Soil
5.57,0.3,99.1,88.7,195.9,33,26,46.1,Red Soil
8.3,0.11,50.8,68,196.1,71.5,9.6,5.1,Arid Soil
6.87,0.42,80,94.9,203.4,36.7,20.8,48.2,Red Soil
6.03,1.31,217.7,150.9,204.8,22.2,47.2,26.5,Forest Soil
4.67,0.45,89.7,69.1,170.4,27,14,59.5,Laterite Soil
8.12,1.05,116.4,111.9,380.5,10.7,29.8,63,Black Soil
6.35,0.51,108.7,99.4,198.9,31.2,29.4,45.4,Red Soil
5.24,0.35,70.4,64,110.1,27.6,11,55.5,Laterite Soil
5.99,2.58,287.6,197.2,261.9,13.4,26.3,71.6,Peaty Soil
7.55,0.96,130.9,82.9,333.5,12.6,23,69,Black Soil
5.9,2.29,295.5,164.3,242,8,22.2,65.8,Peaty Soil
5.06,2.75,327.4,190.8,277,7.4,29.1,63.5,Peaty Soil
6.22,1.17,218.5,140.8,278.9,24,58,29.9,Forest Soil
7.67,0.98,128.9,102.4,330.6,17.3,23.6,66,Black Soil
5.58,1.67,224.5,135.3,231,19.1,40.5,28.2,Forest Soil
6.68,0.85,149.6,240.2,258.3,32.2,41.9,29.8,Alluvial Soil
8.19,0.24,68.9,48.8,186.8,61.1,22.2,20.8,Saline Soil
8.9,0.13,65.6,69.5,217.3,53.7,15.6,18.3,Saline Soil
4.57,0.24,68.8,65,109.1,21.1,13.2,57.9,Laterite Soil
8,0.91,119.2,100.9,374.3,10.7,26.8,68.9,Black Soil
4.64,0.39,79.2,73.1,127.9,24.3,17,68.5,Laterite Soil
5.92,0.41,81.9,79.1,174.4,25.8,16.4,60.1,Laterite Soil
5.84,1.34,211.6,171.3,209.6,24.5,40.8,25.6,Forest Soil
5.38,0.5,84.4,51.5,135.2,27,13.6,66.2,Laterite Soil
8.27,0.26,51.8,67.4,213.9,61.2,24.7,20.2,Saline Soil
5.89,0.38,88,72.6,115.6,22.8,12.6,64.4,Laterite Soil
8.36,0.17,77.6,66.9,218.5,53.9,19.1,20.2,Saline Soil
4.83,0.21,75.4,65.5,113.7,24.9,16.4,52.4,Laterite Soil
6.52,0.44,93.3,74.5,196.6,30.2,26.3,45.6,Red Soil
4.3,2.23,290.1,245.6,291.5,10.8,22.1,65.1,Peaty Soil
8.07,0.22,63.5,65.5,161.3,77.5,5.7,7.6,Arid Soil
7.12,0.65,138.4,240.2,315.7,32.3,42.2,26,Alluvial Soil
8.47,0.1,74.2,42.3,154.8,64.6,20.3,19.6,Saline Soil
4.53,2.08,251,207.1,235.2,13.4,25.1,71.7,Peaty Soil
4.58,2.99,288.8,154.5,280.6,9.2,26.3,72.7,Peaty Soil
4.56,2.46,298.5,163.8,242.3,6.6,23.5,70.8,Peaty Soil
5.51,0.3,80.9,74.8,149.7,29.7,15.2,65.4,Laterite Soil
8,1.12,139.5,104.8,388.3,10.9,27.2,74.5,Black Soil
4.64,0.39,81.6,54.3,114.1,24.8,17.3,61.2,Laterite Soil
5.64,0.34,107.7,76.1,193.9,30.6,27.6,41.2,Red Soil
6.81,0.52,84.5,71.6,213.4,36.9,26.7,49.1,Red Soil
6.91,0.45,103.3,92.1,225.2,38.3,24.5,48.6,Red Soil
7.15,0.79,122.7,235.5,328.3,39.4,43.7,27.6,Alluvial Soil
7.13,0.73,122.6,225.3,294.8,37.2,37.2,24.9,Alluvial Soil
6.56,0.61,169.7,232.8,250.8,37.6,35.7,26.1,Alluvial Soil
5.92,2.26,279.1,181.3,261.7,11.6,22.8,71.5,Peaty Soil
6.9,0.33,94.9,70.6,217.3,31.1,23.8,41.5,Red Soil
5.89,1.95,235.9,125.4,225.6,17.4,40.1,22.8,Forest Soil
6.43,0.51,111.7,92.2,192.7,36.6,25.7,40.1,Red Soil
6.08,0.56,92.1,72.9,199.7,35.8,25.6,46.7,Red Soil
6.06,1.86,184.2,170.7,275.7,24.1,58.1,28.9,Forest Soil
5.33,1.08,218.1,159.1,237.3,19.8,41.7,23.9,Forest Soil
5.84,0.28,80.9,69.3,171.1,28.6,16.2,65.9,Laterite Soil
5.85,0.38,82,83.1,206.3,35.1,29,41.5,Red Soil
5.97,2.79,285,207.9,249.1,11.7,21.7,70.2,Peaty Soil
6.71,0.33,92,76.3,184.5,36.7,23.5,47.6,Red Soil
5.43,1.1,171.1,179.6,276.2,21,46.2,23.9,Forest Soil
5.03,0.44,68,58,173.6,24.6,15.9,66.5,Laterite Soil
8.68,0.15,59.6,51.6,197.1,54,16.1,19.4,Saline Soil
6.75,0.49,95.2,73.6,238.7,34,22.5,45.1,Red Soil
6.53,0.69,142.8,260.2,274.9,32,37.9,20.7,Alluvial Soil
7.82,0.84,121.9,108.4,306.6,10.2,29,73.8,Black Soil
8.16,0.84,139.9,102.1,383.7,19.5,29.5,69.4,Black Soil
6.26,1.01,173.3,175.8,234.5,19.9,57.3,21.3,Forest Soil
6.58,0.42,108.4,78.1,193.4,38.5,26.3,48.4,Red Soil
5.43,0.3,70.4,50.4,167.7,20,12.9,52.4,Laterite Soil
8.09,0.14,55.4,74.1,181.2,79,10.6,11.7,Arid Soil
8.47,0.17,70.9,42.6,152.6,62.8,24.7,19.8,Saline Soil
8.24,0.89,138.5,119.2,314.1,12.5,20.6,67.1,Black Soil
8.4,1.15,107.2,82.5,360.7,10.6,21.1,64.4,Black Soil
7.72,0.24,45.7,73.8,165.4,82.7,5.2,11.7,Arid Soil
8.32,0.84,131.7,81.7,373.3,17.1,29.6,73.6,Black Soil
7.87,0.28,47.2,60.5,173.3,80.9,13.6,10.8,Arid Soil
8.38,0.87,135.5,90.6,347.4,19,29.2,65.4,Black Soil
5.32,1.4,178.5,156.5,266.4,17.7,47.8,26,Forest Soil
7.73,1.16,132.4,92.8,333.7,11.4,29.8,63.7,Black Soil
4.1,2.49,311.2,232.4,210.5,10.7,21.5,65.5,Peaty Soil
5.96,0.5,82.2,92.5,207.7,37.4,24.9,47.5,Red Soil
5.48,1.97,167,128.4,228.3,20.4,40.4,26.3,Forest Soil
7.79,0.28,45.1,55.4,169.7,76.3,5.7,10.7,Arid Soil
8.5,0.21,56.4,62.9,191.8,74.7,9.6,6.3,Arid Soil
7.95,0.89,102.7,110.9,334.1,13.5,27.6,72.2,Black Soil
5.68,0.47,96,91.1,229.4,31.8,29,44.6,Red Soil
5.78,0.33,87.6,53.7,123.1,21.8,10.7,65.7,Laterite Soil
5.8,1.95,240.4,165.3,228.3,24.6,59.3,23.2,Forest Soil
6.15,0.37,106.2,94.9,215.2,35.5,23,45.2,Red Soil
8.2,0.21,41.5,72.1,187,84.5,8.5,13.2,Arid Soil
7.18,0.88,147.7,283.5,313.2,34.6,37.1,22.3,Alluvial Soil
8.38,0.24,53.2,56.1,191.2,70.8,12.5,8.2,Arid Soil
5.01,2.55,288.2,234,271,10,21.9,67.9,Peaty Soil
7.7,0.23,43.5,54.9,181.5,72,14,8.8,Arid Soil
4.54,0.35,79.1,62.1,149.3,30,17.2,60,Laterite Soil
8.34,1.19,120.8,108.4,397.5,10,21.3,69.9,Black Soil
6,0.56,89.2,89.6,225.6,33.9,26.9,45.6,Red Soil
4.13,2.05,339.7,214.6,298.9,7.1,29.3,73.7,Peaty Soil
5.14,0.4,77.4,57,179.3,23.6,15.7,66.3,Laterite Soil
4.92,0.31,85.8,63.8,136.7,27.8,10.2,56.8,Laterite Soil
5.39,2.44,299.8,207,231.6,10.5,22.8,72.6,Peaty Soil
5.08,2.17,275.7,187.5,233.2,6.7,26.4,65.3,Peaty Soil
5.33,1.35,175.5,155.4,202.3,18.6,52.9,23.8,Forest Soil
5.52,0.6,101.6,86.6,220.2,32,27.8,43.6,Red Soil
5.88,0.54,115.1,74,211.3,36.3,21.6,40.5,Red Soil
5.04,0.27,73.3,60.4,133.3,24.5,12.9,64,Laterite Soil
5.81,0.48,116.2,84.4,233.6,38,23.8,44,Red Soil
6.66,0.65,140.6,279.8,326.8,30.2,43.7,23.5,Alluvial Soil
5.77,2.08,292.6,176.4,249.6,14.7,27.5,64.3,Peaty Soil
4.39,2.58,287.6,234.6,218.8,6.1,27.5,68.4,Peaty Soil
6.05,0.59,109.5,92.9,215.9,31.5,20.4,47.5,Red Soil
8.41,0.25,59.9,43.7,189.8,52.5,17.2,21.6,Saline Soil
7.4,0.67,159.4,212.5,259.7,36,36.8,25.3,Alluvial Soil
8.42,0.14,45.3,76.8,188.8,84.5,11.4,11.2,Arid Soil
8.31,0.15,48.1,63.1,157.8,76.8,14.4,9.7,Arid Soil
5.27,1.47,185.1,131.7,226.4,23.8,45.2,22.4,Forest Soil
8.12,0.99,112,86.9,374,14.5,26.4,62.5,Black Soil
7.16,0.84,129.6,264.1,268.6,35.6,40.3,27.2,Alluvial Soil
8.39,1.03,107.4,103.8,360,13.8,20.3,72.9,Black Soil
6.96,0.75,125.3,272.1,290.2,36.1,35.9,20.1,Alluvial Soil
7.95,0.28,64.8,59.7,175.9,70.3,7.3,5.4,Arid Soil
4.88,0.22,64.9,77.6,130.1,23.5,13.6,69.2,Laterite Soil
5.85,0.46,118.3,84.1,192.6,38,25.8,45,Red Soil
7.01,0.74,130.2,267.9,266.4,34.2,37.5,20.2,Alluvial Soil
7.57,0.82,131.3,99,389.8,17.5,29.1,68.8,Black Soil
7.36,0.77,140.2,259.8,326,32.4,44.7,20.6,Alluvial Soil
5,0.3,85.6,62.4,170.9,20.3,17.3,57.2,Laterite Soil
5.97,1.93,159.3,135.1,202.8,23.4,41.7,28.7,Forest Soil
7.98,0.81,104.4,109.4,385.9,12.6,21.4,60.3,Black Soil
8.32,0.21,78.7,68.1,196.1,63.7,21.6,24.1,Saline Soil
8.59,0.29,77.2,60.3,188.4,62.4,22.1,16.7,Saline Soil
7.46,0.69,157.7,274.9,278.7,31.8,37.1,26.1,Alluvial Soil
6.2,0.36,95.8,87.7,220.5,32.3,24,49,Red Soil
7.64,1.16,114.9,89.9,393.5,12.1,29.8,67.6,Black Soil
5.8,1.75,236.6,158.6,238.7,21.6,44.7,20.7,Forest Soil
4.15,2.44,262.7,229.7,233.9,9.7,20.8,61.9,Peaty Soil
7.83,0.82,126.3,90.1,357.2,17.8,26.7,61.5,Black Soil
6.46,1.85,239.3,120.7,251.7,16.7,48.4,28.2,Forest Soil
6.88,0.49,110.4,93.6,185.1,31.5,28.2,40.7,Red Soil
4.79,0.2,88.5,77.7,101.9,23.8,13.8,60.8,Laterite Soil
7.69,0.89,105.3,86.6,303,19.2,22.2,64,Black Soil
8.36,0.17,48.8,77,158.4,81.2,14.1,14.3,Arid Soil
5.09,2.52,320.5,163,230.2,11.7,22.8,72.2,Peaty Soil
8.11,0.96,135,109.7,377.2,14.3,26.9,71.7,Black Soil
6.88,0.66,169.1,228.9,290.2,36.4,38,27.5,Alluvial Soil
8.51,0.2,59.1,41.4,180.3,64.8,22.8,18.5,Saline Soil
7.97,0.17,42.7,60.7,187,76.2,6.8,8.4,Arid Soil
8.29,1.14,119.9,95.2,360.8,13.6,23.8,74.6,Black Soil
6.58,0.45,99.6,74.4,225.1,32.1,28.2,41.5,Red Soil
5.37,2.13,253.9,227.1,241.7,8.9,25.6,60.4,Peaty Soil
8.22,0.23,59.5,69.2,160.6,82.3,5.4,5.6,Arid Soil
5.98,2.69,336,223.1,293.3,12.5,29.9,62.9,Peaty Soil
6.57,0.62,169.7,202.8,318.6,35.3,36.7,20.1,Alluvial Soil
8.34,0.25,55,51.8,187.7,56.4,19,20.5,Saline Soil
4.71,0.22,63.2,78.3,150.3,21.6,12.6,52.9,Laterite Soil
5.82,1.72,156.7,156.7,270,17,54.4,25,Forest Soil
7.95,0.89,108.4,98.2,331.2,18.4,23.5,66.1,Black Soil
4.58,2.5,302.6,239.6,284.2,8,22.1,73.8,Peaty Soil
4.92,0.44,73.5,50.6,155.3,22.8,16.2,52.5,Laterite Soil
7.83,1.09,117.8,84.7,351.9,11.5,23.3,72.2,Black Soil
5.69,0.23,66.9,52.5,109,20.7,18.6,64,Laterite Soil
6.96,0.82,150.1,279,349.3,33.1,44,23.6,Alluvial Soil
8.27,0.83,131.7,110.5,396.6,19.7,22.7,71.2,Black Soil
8.72,0.13,60.1,62.4,178.7,63.8,20.7,23,Saline Soil
5.59,0.45,84,71.2,144.2,20.8,12.1,58.1,Laterite Soil
5.09,2.03,314,162,242.7,11.3,29.8,64.9,Peaty Soil
5.29,1.55,158.1,139.1,268.5,15.3,57,24,Forest Soil
7.74,0.23,68,59,179.7,82.8,10.8,8.2,Arid Soil
6.28,1.15,216.5,149.2,262.5,23.2,42.4,23.2,Forest Soil
8.35,1.13,131,114.5,347.7,17.9,26.3,72.8,Black Soil
6.61,0.72,178.3,277,315.9,39.8,42.4,28.2,Alluvial Soil
8.48,1,134.2,88.5,357.1,17,29.8,73.6,Black Soil
8.59,0.14,63.8,45.3,191.4,61.1,21.2,17.9,Saline Soil
4.86,2.48,329.2,166.4,212.8,5.3,24.7,70.5,Peaty Soil
6.06,1.4,161.7,175.1,215,15.5,43,24.4,Forest Soil
7.45,0.88,121.6,285.3,291.7,32.2,43.4,28.8,Alluvial Soil
4.76,0.28,68.7,67.4,107.3,28.2,19,51.3,Laterite Soil
7.47,0.65,173.7,260.6,348.5,30.5,42.1,22.2,Alluvial Soil
8.36,0.12,66.1,66.1,166.6,61.2,21.1,22.4,Saline Soil
5.69,1.78,202.5,134.5,260.4,24,58.8,20.6,Forest Soil
6.27,1.48,161.2,178.4,245.5,23.9,55.1,23,Forest Soil
6.04,0.47,99.8,90.8,199.7,38.9,29.3,42.5,Red Soil
8.83,0.11,76.9,61.6,184.6,57.3,19.6,19.5,Saline Soil
7.67,0.9,108.7,97.3,378.9,12.6,22.6,70.7,Black Soil
8.08,0.12,53.4,48.6,176.5,54.1,20.7,20.7,Saline Soil
5.82,0.33,118.4,78.2,180.3,34,29.2,41.6,Red Soil
6.59,0.67,135.1,245.3,327.1,38.2,41.7,23.5,Alluvial Soil
4.45,2.36,254.7,205.9,294.5,9,26.9,61.5,Peaty Soil
7.44,0.84,120.4,264,335.8,39.6,36.6,29.7,Alluvial Soil
4.79,0.38,88.8,60.9,141.5,27.6,11.5,52.2,Laterite Soil
5.32,2.65,291.9,163.4,258.4,12,24.3,72.1,Peaty Soil
7.32,0.83,170.7,224.4,266.9,33.2,43.1,23,Alluvial Soil
6.98,0.56,119.9,74.4,227.3,38.7,22.2,41.8,Red Soil
7.78,0.28,59.7,74.3,173.9,81.6,10.9,7.7,Arid Soil
5.45,2.5,251.2,179.7,213.5,12.9,25,74.4,Peaty Soil
8.36,1.17,116.5,95.3,304.2,16.4,25.5,66.6,Black Soil
6.19,1.43,152.2,154.3,201.6,21.9,52.9,25.2,Forest Soil
5.82,2.02,263.5,218.8,274.6,15,21.3,60.3,Peaty Soil
5.56,1.74,208.5,131.1,274.5,16.4,53.8,22.6,Forest Soil
4.49,2.51,271.1,241.1,253.7,5.9,21.7,74.9,Peaty Soil
6.54,0.36,115.9,80.9,222.5,37.4,23.4,43.1,Red Soil
8.47,1.12,115.3,105.1,327.4,19.3,29.3,64.7,Black Soil
5.72,0.28,72.9,52.3,159.7,25.7,16.3,69.6,Laterite Soil
4.74,0.4,65.8,65.9,120.7,22.6,12,54.7,Laterite Soil
7.33,0.72,171.8,265.5,251.5,31.7,38.8,27.3,Alluvial Soil
5.98,0.47,61.4,50.7,153.3,26.6,11.9,54.4,Laterite Soil
7.9,0.9,104.9,104.6,391.1,19,27.2,70.6,Black Soil
5.11,2.95,270.6,229.9,248.5,8.9,21.3,61.7,Peaty Soil
7.58,0.87,103.9,93.6,398.4,13.4,22.7,61.3,Black Soil
6.08,1.95,242.9,124.4,271.5,17.5,52.8,26,Forest Soil
5.88,0.49,86.5,95.3,225.4,31,27.8,42.5,Red Soil
7.66,0.23,67.9,79.6,199.8,78.4,7.5,9.3,Arid Soil
5.28,1.24,230.3,176,274.2,22.2,47.5,24.8,Forest Soil
6.95,0.69,160.9,240.8,293.8,35.1,44.7,25.1,Alluvial Soil
4.44,2.23,268.5,183.9,248.8,6,29.3,73.1,Peaty Soil
8.44,0.25,59.6,43.1,215.5,61.1,21.5,16.2,Saline Soil
5.43,0.44,67.2,71.9,128.7,20.3,19,63.7,Laterite Soil
8.3,0.19,44.8,69,157,83,11.2,11,Arid Soil
4.23,2.96,321.4,198.5,217.8,8.5,20.9,73,Peaty Soil
8.36,0.18,43.6,74.5,192.3,72.9,13.4,7.4,Arid Soil
5.91,2.83,345.8,247.7,282.5,8.2,30,68.2,Peaty Soil
5.27,0.41,82.2,75,164.3,24.2,15.4,67.6,Laterite Soil
6.23,1.06,194.7,157.4,221.5,23.8,44.4,20.4,Forest Soil
7.98,0.25,40.6,57.9,198.7,79.2,11.5,5.6,Arid Soil
8.34,1.11,124.2,100.8,368.2,13.1,22.2,69,Black Soil
6.97,0.75,169.4,280.4,256.6,34.6,35.1,22.6,Alluvial Soil
5.54,0.37,87.2,66.7,174,29.8,14.2,55.5,Laterite Soil
5.74,0.24,69.7,77.5,177.3,24.8,17,63.7,Laterite Soil
8.39,0.16,69.7,69.7,179,56,16.3,21.5,Saline Soil
5.74,0.49,86.8,97.3,188.2,31.9,28.5,44.5,Red Soil
7.07,0.65,141.9,224.6,276.4,34.7,44.6,22.2,Alluvial Soil
7.92,0.28,60.6,76.6,196.8,82.7,6.4,6,Arid Soil
8.64,0.15,58.7,66.9,162.4,62,19.3,17.8,Saline Soil
4.89,0.31,69.1,62.5,159.3,28.1,19.7,54,Laterite Soil
4.38,2.64,267.3,202,263.7,14.4,22.8,73.8,Peaty Soil
7.77,1.17,113.8,90.7,338.2,16.1,21.1,61.8,Black Soil
6.72,0.62,138.3,258.3,327.5,37.5,44,21.9,Alluvial Soil
8.49,0.88,136.3,87.2,383.8,20,26,73.9,Black Soil
8.86,0.29,53.1,67.6,196.3,57.1,21.8,17.6,Saline Soil
5.31,1.86,207.6,150.8,273.4,16.1,43.5,28.9,Forest Soil
8.51,0.2,64.2,47,166.6,63.2,23.2,16.8,Saline Soil
8.5,0.18,52.6,65.7,150.9,51.3,21.1,18.6,Saline Soil
6.72,0.32,96.9,98.5,215.4,39.3,29.3,41.5,Red Soil
5.28,0.22,84.8,74.8,145.2,25.3,14.8,53.9,Laterite Soil
8.72,0.11,52.8,67.5,195.7,55.5,17.7,15.9,Saline Soil
5.93,1.15,157.8,129.6,214.5,16.5,42.7,20.1,Forest Soil
5.67,0.34,70.6,65.4,152.2,28.4,13.5,61.5,Laterite Soil
8.25,0.12,59.5,51.7,170.8,78.2,8.8,13,Arid Soil
7.91,1.15,121.5,114.2,386.6,17.5,21.4,71.9,Black Soil
6,0.33,107.8,77.4,188,35.8,27.6,44.5,Red Soil
8.07,0.12,74.1,62,201.6,59.3,19.4,22.3,Saline Soil
7.3,0.85,156.7,259.3,314.6,39.2,37.4,27.2,Alluvial Soil
4.49,2.56,285.3,158.2,208.5,5.1,22.1,62.6,Peaty Soil
5.59,1.93,214.5,136.6,259.7,18.8,55.1,26,Forest Soil
8.4,0.19,69.8,63.3,171.3,63,18.1,17.4,Saline Soil
4.31,2.12,340.4,202.6,250.8,9.4,26,67.6,Peaty Soil
7.64,1.18,104.8,88.5,311,19.3,24.9,65.7,Black Soil
